ds,dd,dg,gender
Andaman and Nicobar Islands,South Andaman,O,18
Andhra Pradesh,Anantapur,O,24
Andhra Pradesh,Chittoor,O,45
Andhra Pradesh,East Godavari,O,15
Andhra Pradesh,Guntur,O,84
Andhra Pradesh,Krishna,O,105
Andhra Pradesh,Kurnool,O,121
Andhra Pradesh,Prakasam,O,12
Andhra Pradesh,S.P.S. Nellore,O,5
Andhra Pradesh,Srikakulam,O,3
Andhra Pradesh,Visakhapatnam,O,1
Andhra Pradesh,West Godavari,O,16
Andhra Pradesh,Y.S.R. Kadapa,O,21
Andhra Pradesh,unknown,O,2
Assam,unknown,M,1
Bihar,Arwal,M,4
Bihar,Aurangabad,M,2
Bihar,Banka,M,2
Bihar,Bhagalpur,F,1
Bihar,Bhagalpur,M,3
Bihar,Bhojpur,F,1
Bihar,Buxar,F,11
Bihar,Buxar,M,10
Bihar,East Champaran,M,4
Bihar,East Champaran,O,1
Bihar,Gaya,M,1
Bihar,Gopalganj,F,2
Bihar,Gopalganj,M,7
Bihar,Jehanabad,M,1
Bihar,Kaimur,F,4
Bihar,Kaimur,M,10
Bihar,Madhepura,F,1
Bihar,Munger,F,30
Bihar,Munger,M,18
Bihar,Nalanda,F,10
Bihar,Nalanda,M,12
Bihar,Nalanda,O,1
Bihar,Patna,F,9
Bihar,Patna,M,14
Bihar,Patna,O,3
Bihar,Rohtas,F,4
Bihar,Rohtas,M,11
Bihar,Saran,F,1
Bihar,Saran,M,1
Bihar,Siwan,M,1
Bihar,Vaishali,F,1
Chandigarh,Chandigarh,F,4
Chandigarh,Chandigarh,M,3
Chandigarh,Chandigarh,O,3
Chhattisgarh,Raipur,O,1
Delhi,unknown,O,915
Gujarat,Ahmedabad,F,175
Gujarat,Ahmedabad,M,376
Gujarat,Ahmedabad,O,529
Gujarat,Anand,F,3
Gujarat,Anand,M,2
Gujarat,Anand,O,16
Gujarat,Aravalli,F,7
Gujarat,Aravalli,M,10
