,DetectedState,DateAnnounced
0,Odisha,20/04/2020
1,Odisha,20/04/2020
2,Odisha,20/04/2020
3,Odisha,20/04/2020
4,Odisha,20/04/2020
5,Odisha,20/04/2020
6,Odisha,20/04/2020
7,West Bengal,20/04/2020
8,West Bengal,20/04/2020
9,West Bengal,20/04/2020
10,West Bengal,20/04/2020
11,West Bengal,20/04/2020
12,West Bengal,20/04/2020
13,West Bengal,20/04/2020
14,West Bengal,20/04/2020
15,West Bengal,20/04/2020
16,West Bengal,20/04/2020
17,West Bengal,20/04/2020
18,West Bengal,20/04/2020
19,West Bengal,20/04/2020
20,West Bengal,20/04/2020
21,West Bengal,20/04/2020
22,West Bengal,20/04/2020
23,West Bengal,20/04/2020
24,West Bengal,20/04/2020
25,West Bengal,20/04/2020
26,West Bengal,20/04/2020
27,West Bengal,20/04/2020
28,West Bengal,20/04/2020
29,West Bengal,20/04/2020
30,West Bengal,20/04/2020
31,West Bengal,20/04/2020
32,West Bengal,20/04/2020
33,West Bengal,20/04/2020
34,West Bengal,20/04/2020
35,West Bengal,20/04/2020
36,Rajasthan,20/04/2020
37,Rajasthan,20/04/2020
38,Rajasthan,20/04/2020
39,Rajasthan,20/04/2020
40,Rajasthan,20/04/2020
41,Rajasthan,20/04/2020
42,Rajasthan,20/04/2020
43,Rajasthan,20/04/2020
44,Rajasthan,20/04/2020
45,Rajasthan,20/04/2020
46,Rajasthan,20/04/2020
47,Rajasthan,20/04/2020
48,Rajasthan,20/04/2020
49,Rajasthan,20/04/2020
50,Rajasthan,20/04/2020
51,Rajasthan,20/04/2020
52,Rajasthan,20/04/2020
53,Karnataka,20/04/2020
54,Karnataka,20/04/2020
55,Karnataka,20/04/2020
56,Karnataka,20/04/2020
57,Karnataka,20/04/2020
58,Gujarat,20/04/2020
59,Gujarat,20/04/2020
60,Gujarat,20/04/2020
61,Gujarat,20/04/2020
62,Gujarat,20/04/2020
63,Gujarat,20/04/2020
64,Gujarat,20/04/2020
65,Gujarat,20/04/2020
66,Gujarat,20/04/2020
67,Gujarat,20/04/2020
68,Gujarat,20/04/2020
69,Gujarat,20/04/2020
70,Gujarat,20/04/2020
71,Gujarat,20/04/2020
72,Gujarat,20/04/2020
73,Gujarat,20/04/2020
74,Gujarat,20/04/2020
75,Gujarat,20/04/2020
76,Gujarat,20/04/2020
77,Gujarat,20/04/2020
78,Gujarat,20/04/2020
79,Gujarat,20/04/2020
80,Gujarat,20/04/2020
81,Gujarat,20/04/2020
82,Gujarat,20/04/2020
83,Gujarat,20/04/2020
84,Gujarat,20/04/2020
85,Gujarat,20/04/2020
86,Gujarat,20/04/2020
87,Gujarat,20/04/2020
88,Gujarat,20/04/2020
89,Gujarat,20/04/2020
90,Gujarat,20/04/2020
91,Gujarat,20/04/2020
92,Gujarat,20/04/2020
93,Gujarat,20/04/2020
94,Gujarat,20/04/2020
95,Gujarat,20/04/2020
96,Gujarat,20/04/2020
97,Gujarat,20/04/2020
98,Gujarat,20/04/2020
