DetectedState,Statecode,no_people,PercentageofPeople
Andaman and Nicobar Islands,AN,18,0.16637397171642482
Andhra Pradesh,AP,454,4.196321286625381
Assam,AS,1,0.009242998428690266
Bihar,BR,181,1.6729827155929384
Chandigarh,CH,10,0.09242998428690267
Chhattisgarh,CT,1,0.009242998428690266
Delhi,DL,915,8.457343562251594
Gujarat,GJ,1558,14.400591551899437
Haryana,HR,46,0.42517792771975227
Himachal Pradesh,HP,1,0.009242998428690266
Jammu and Kashmir,JK,173,1.5990387281634162
Jharkhand,JH,41,0.37896293557630095
Karnataka,KA,113,1.0444588224420002
Kerala,KL,67,0.6192808947222479
Ladakh,LA,2,0.018485996857380532
Madhya Pradesh,MP,703,6.497827895369259
Maharashtra,MH,4046,37.39717164248082
Meghalaya,ML,1,0.009242998428690266
Odisha,OR,42,0.3882059340049912
Puducherry,PY,1,0.009242998428690266
Punjab,PB,78,0.7209538774378408
Rajasthan,RJ,717,6.627229873370921
Tamil Nadu,TN,408,3.771143358905629
Telangana,TG,143,1.3217487753027082
Uttar Pradesh,UP,791,7.311211757094001
Uttarakhand,UT,7,0.06470098900083188
West Bengal,WB,301,2.7821425270357705
